"sex","age","race","priors_count","charge","is_recid","score"
"Female",19,"African-American",0,"Exposes Culpable Negligence",1,8
"Male",57,"Caucasian",0,"Aggrav Battery w/Deadly Weapon",0,1
"Male",26,"African-American",0,"Traffick Amphetamine 28g><200g",0,5
"Male",19,"African-American",1,"arrest case no charge",1,10
"Male",21,"African-American",0,"Carrying Concealed Firearm",0,7
"Female",32,"African-American",0,"Burglary Conveyance Unoccup",0,3
"Male",34,"Caucasian",2,"arrest case no charge",0,4
"Male",35,"Caucasian",2,"Battery On Fire Fighter",1,5
"Male",25,"Caucasian",0,"DUI Property Damage/Injury",0,2
"Male",60,"African-American",9,"Possession of Cocaine",0,8
"Male",21,"African-American",0,"Felony Battery (Dom Strang)",1,4
"Male",21,"Hispanic",0,"Battery",0,3
"Male",53,"Caucasian",1,"Lewd or Lascivious Molestation",0,1
"Male",31,"African-American",2,"arrest case no charge",0,3
"Male",28,"African-American",14,"Resist/Obstruct W/O Violence",1,7
"Male",42,"African-American",1,"Viol Pretrial Release Dom Viol",1,6
"Male",41,"Hispanic",19,"Felony Petit Theft",1,10
"Male",57,"Caucasian",0,"Prowling/Loitering",0,1
"Male",37,"Caucasian",1,"Disorderly Conduct",1,5
"Female",23,"Other",0,"Battery",0,5
"Male",25,"Caucasian",1,"Poss3,4 Methylenedioxymethcath",0,6
"Male",66,"Caucasian",0,"Grand Theft in the 3rd Degree",0,1
"Male",73,"Caucasian",0,"Battery",0,1
"Male",40,"African-American",6,"Possession of Cocaine",0,7
"Male",34,"Caucasian",0,"Battery",0,2
"Male",47,"African-American",1,"Battery",1,1
"Female",20,"Caucasian",0,"Grand Theft in the 3rd Degree",1,3
"Female",43,"Caucasian",0,"Grand Theft (Motor Vehicle)",0,2
"Female",32,"Hispanic",1,"Burglary Conveyance Occupied",0,2
"Male",29,"African-American",1,"DUI Blood Alcohol Above 0.20",1,2
"Male",35,"African-American",0,"Tampering With Physical Evidence",0,4
"Male",21,"African-American",0,"Aggravated Battery / Pregnant",0,3
"Female",20,"African-American",0,"Grand Theft in the 3rd Degree",0,4
"Male",32,"African-American",9,"Burglary Unoccupied Dwelling",0,9
"Male",34,"African-American",8,"arrest case no charge",0,10
"Male",37,"Other",0,"Battery",0,1
"Female",32,"African-American",0,"Battery",0,2
"Male",23,"African-American",1,"",0,2
"Female",33,"African-American",3,"Battery",0,4
"Male",33,"Caucasian",0,"Resist Officer w/Violence",0,1
"Male",41,"African-American",2,"arrest case no charge",1,6
"Male",32,"African-American",2,"Possession of Cocaine",1,8
"Male",28,"African-American",7,"Grand Theft in the 3rd Degree",1,10
"Female",39,"Hispanic",10,"Battery on a Person Over 65",1,4
"Male",43,"African-American",8,"Battery",0,2
"Male",29,"Hispanic",0,"Battery",0,1
"Male",44,"Caucasian",2,"Battery",0,4
"Male",56,"African-American",6,"Possession of Cocaine",0,2
"Female",58,"Other",0,"Harass Witness/Victm/Informnt",0,1
"Female",30,"African-American",0,"Battery",0,3
"Male",47,"Caucasian",1,"Grand Theft in the 3rd Degree",0,1
"Male",23,"African-American",1,"Possession of Cocaine",0,7
"Male",23,"Caucasian",2,"Aggravated Assault W/Dead Weap",0,6
"Male",56,"Caucasian",7,"Grand Theft in the 3rd Degree",0,5
"Male",22,"African-American",5,"arrest case no charge",1,10
"Male",55,"Caucasian",0,"Battery",0,1
"Female",24,"African-American",0,"Battery",0,2
"Male",24,"Other",3,"Battery",1,8
"Male",24,"African-American",1,"Battery",1,2
"Male",24,"African-American",0,"Possession Of 3,4Methylenediox",0,9
"Male",50,"Caucasian",0,"Felony Battery (Dom Strang)",1,1
"Male",25,"African-American",1,"Burglary Unoccupied Dwelling",0,4
"Male",46,"Caucasian",4,"Poss3,4 Methylenedioxymethcath",0,4
"Female",51,"Hispanic",2,"Battery",0,1
"Male",56,"Hispanic",10,"Battery",1,2
"Male",41,"African-American",0,"Grand Theft in the 3rd Degree",0,7
"Male",30,"African-American",0,"Felony Battery (Dom Strang)",0,1
"Female",24,"Caucasian",2,"Obtain Control Substance By Fraud",0,9
"Female",49,"African-American",1,"Felony Driving While Lic Suspd",0,1
"Female",24,"African-American",2,"Felony Driving While Lic Suspd",1,6
"Male",31,"Caucasian",0,"Possession of Cocaine",0,7
"Female",38,"African-American",0,"Viol Prot Injunc Repeat Viol",0,4
"Male",40,"African-American",5,"arrest case no charge",1,7
"Male",43,"African-American",7,"arrest case no charge",0,4
"Female",23,"Caucasian",1,"Battery",0,6
"Female",26,"African-American",2,"arrest case no charge",0,9
"Male",27,"African-American",3,"Susp Drivers Lic 1st Offense",0,2
"Female",31,"African-American",10,"Uttering a Forged Instrument",0,8
"Male",37,"African-American",0,"Felony Battery (Dom Strang)",1,1
"Female",35,"African-American",1,"arrest case no charge",0,1
"Male",44,"Caucasian",0,"Battery",1,1
"Male",29,"African-American",5,"arrest case no charge",0,10
"Male",36,"African-American",4,"Possession of Cocaine",0,4
"Male",50,"Caucasian",0,"Carrying Concealed Firearm",0,1
"Male",58,"Caucasian",1,"Aggravated Assault W/Dead Weap",1,1
"Male",56,"Caucasian",0,"Retail Theft $300 1st Offense",0,1
